"n_total","package","reps","median_s","status"
500,"couplr",5,0.011,"ok"
500,"optmatch",5,0.099,"ok"
500,"MatchIt",5,0.117,"ok"
2000,"couplr",5,0.144,"ok"
2000,"optmatch",5,1.696,"ok"
2000,"MatchIt",5,2.118,"ok"
5000,"couplr",3,0.742,"ok"
5000,"optmatch",3,12.863,"ok"
5000,"MatchIt",3,15.727,"ok"
10000,"couplr",3,3.082,"ok"
10000,"optmatch",3,59.337,"ok"
10000,"MatchIt",3,73.436,"ok"
20000,"optmatch",1,280.111,"ok"
20000,"MatchIt",0,NA,"error: (from optmatch) result would exceed 2^31-1 bytes"
50000,"optmatch",0,NA,"timeout"
50000,"MatchIt",0,NA,"timeout"
20000,"couplr",1,11.437,"ok"
50000,"couplr",1,78.529,"ok"
