"n_total","package","instance","seed","rep","seconds","status"
500,"couplr",1,20261015,1,0.018,"ok"
500,"couplr",1,20261015,2,0.017,"ok"
500,"couplr",1,20261015,3,0.017,"ok"
500,"optmatch",1,20261015,1,0.107,"ok"
500,"optmatch",1,20261015,2,0.108,"ok"
500,"optmatch",1,20261015,3,0.108,"ok"
500,"MatchIt",1,20261015,1,0.163,"ok"
500,"MatchIt",1,20261015,2,0.166,"ok"
500,"MatchIt",1,20261015,3,0.166,"ok"
500,"couplr",2,21261018,1,0.017,"ok"
500,"couplr",2,21261018,2,0.018,"ok"
500,"couplr",2,21261018,3,0.017,"ok"
500,"optmatch",2,21261018,1,0.111,"ok"
500,"optmatch",2,21261018,2,0.112,"ok"
500,"optmatch",2,21261018,3,0.111,"ok"
500,"MatchIt",2,21261018,1,0.13,"ok"
500,"MatchIt",2,21261018,2,0.131,"ok"
500,"MatchIt",2,21261018,3,0.131,"ok"
500,"couplr",3,22261021,1,0.017,"ok"
500,"couplr",3,22261021,2,0.016,"ok"
500,"couplr",3,22261021,3,0.016,"ok"
500,"optmatch",3,22261021,1,0.12,"ok"
500,"optmatch",3,22261021,2,0.12,"ok"
500,"optmatch",3,22261021,3,0.128,"ok"
500,"MatchIt",3,22261021,1,0.132,"ok"
500,"MatchIt",3,22261021,2,0.134,"ok"
500,"MatchIt",3,22261021,3,0.13,"ok"
500,"couplr",4,23261024,1,0.019,"ok"
500,"couplr",4,23261024,2,0.019,"ok"
500,"couplr",4,23261024,3,0.019,"ok"
500,"optmatch",4,23261024,1,0.119,"ok"
500,"optmatch",4,23261024,2,0.121,"ok"
500,"optmatch",4,23261024,3,0.122,"ok"
500,"MatchIt",4,23261024,1,0.137,"ok"
500,"MatchIt",4,23261024,2,0.14,"ok"
500,"MatchIt",4,23261024,3,0.139,"ok"
500,"couplr",5,24261027,1,0.021,"ok"
500,"couplr",5,24261027,2,0.021,"ok"
500,"couplr",5,24261027,3,0.021,"ok"
500,"optmatch",5,24261027,1,0.153,"ok"
500,"optmatch",5,24261027,2,0.163,"ok"
500,"optmatch",5,24261027,3,0.152,"ok"
500,"MatchIt",5,24261027,1,0.134,"ok"
500,"MatchIt",5,24261027,2,0.133,"ok"
500,"MatchIt",5,24261027,3,0.134,"ok"
2000,"couplr",1,20262515,1,0.163,"ok"
2000,"couplr",1,20262515,2,0.164,"ok"
2000,"couplr",1,20262515,3,0.163,"ok"
2000,"optmatch",1,20262515,1,1.769,"ok"
2000,"optmatch",1,20262515,2,1.765,"ok"
2000,"optmatch",1,20262515,3,1.795,"ok"
2000,"MatchIt",1,20262515,1,2.12,"ok"
2000,"MatchIt",1,20262515,2,2.164,"ok"
2000,"MatchIt",1,20262515,3,2.156,"ok"
2000,"couplr",2,21262518,1,0.136,"ok"
2000,"couplr",2,21262518,2,0.138,"ok"
2000,"couplr",2,21262518,3,0.137,"ok"
2000,"optmatch",2,21262518,1,1.617,"ok"
2000,"optmatch",2,21262518,2,1.613,"ok"
2000,"optmatch",2,21262518,3,1.619,"ok"
2000,"MatchIt",2,21262518,1,2.037,"ok"
2000,"MatchIt",2,21262518,2,2.035,"ok"
2000,"MatchIt",2,21262518,3,2.055,"ok"
2000,"couplr",3,22262521,1,0.138,"ok"
2000,"couplr",3,22262521,2,0.14,"ok"
2000,"couplr",3,22262521,3,0.139,"ok"
2000,"optmatch",3,22262521,1,1.779,"ok"
2000,"optmatch",3,22262521,2,1.794,"ok"
2000,"optmatch",3,22262521,3,1.804,"ok"
2000,"MatchIt",3,22262521,1,2.209,"ok"
2000,"MatchIt",3,22262521,2,2.287,"ok"
2000,"MatchIt",3,22262521,3,2.283,"ok"
2000,"couplr",4,23262524,1,0.143,"ok"
2000,"couplr",4,23262524,2,0.143,"ok"
2000,"couplr",4,23262524,3,0.143,"ok"
2000,"optmatch",4,23262524,1,1.749,"ok"
2000,"optmatch",4,23262524,2,1.787,"ok"
2000,"optmatch",4,23262524,3,1.751,"ok"
2000,"MatchIt",4,23262524,1,2.137,"ok"
2000,"MatchIt",4,23262524,2,2.132,"ok"
2000,"MatchIt",4,23262524,3,2.185,"ok"
2000,"couplr",5,24262527,1,0.14,"ok"
2000,"couplr",5,24262527,2,0.141,"ok"
2000,"couplr",5,24262527,3,0.139,"ok"
2000,"optmatch",5,24262527,1,1.614,"ok"
2000,"optmatch",5,24262527,2,1.672,"ok"
2000,"optmatch",5,24262527,3,1.741,"ok"
2000,"MatchIt",5,24262527,1,2.096,"ok"
2000,"MatchIt",5,24262527,2,2.13,"ok"
2000,"MatchIt",5,24262527,3,2.117,"ok"
5000,"couplr",1,20265515,1,0.751,"ok"
5000,"couplr",1,20265515,2,0.753,"ok"
5000,"optmatch",1,20265515,1,13.188,"ok"
5000,"optmatch",1,20265515,2,13.179,"ok"
5000,"MatchIt",1,20265515,1,16.564,"ok"
5000,"MatchIt",1,20265515,2,16.783,"ok"
5000,"couplr",2,21265518,1,0.823,"ok"
5000,"couplr",2,21265518,2,0.819,"ok"
5000,"optmatch",2,21265518,1,12.751,"ok"
5000,"optmatch",2,21265518,2,12.781,"ok"
5000,"MatchIt",2,21265518,1,16.349,"ok"
5000,"MatchIt",2,21265518,2,16.163,"ok"
5000,"couplr",3,22265521,1,0.832,"ok"
5000,"couplr",3,22265521,2,0.836,"ok"
5000,"optmatch",3,22265521,1,12.762,"ok"
5000,"optmatch",3,22265521,2,12.787,"ok"
5000,"MatchIt",3,22265521,1,16.249,"ok"
5000,"MatchIt",3,22265521,2,16.351,"ok"
5000,"couplr",4,23265524,1,0.776,"ok"
5000,"couplr",4,23265524,2,0.782,"ok"
5000,"optmatch",4,23265524,1,12.728,"ok"
5000,"optmatch",4,23265524,2,12.73,"ok"
5000,"MatchIt",4,23265524,1,16.221,"ok"
5000,"MatchIt",4,23265524,2,16.196,"ok"
5000,"couplr",5,24265527,1,0.786,"ok"
